class,image_idx,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,scale_10,scale_11,scale_12,scale_13,scale_14,scale_15,scale_16,scale_17,scale_18,scale_19,scale_20
aluminium_foil,0,0,0.0529749,0.11948,0.111937,0.0970661,0.0790654,0.0713917,0.0530557,0.0509482,0.0471283,0.044082,0.0303702,0.0254761,0.0150566,0.023079,0.0135079,0.0175505,0.00876641,0.00989457,0.00670713
aluminium_foil,1,0,0.0755789,0.147482,0.130004,0.0949128,0.0727878,0.0549235,0.0588277,0.0455978,0.0389833,0.0393885,0.0306102,0.0219688,0.0287535,0.0197334,0.0161938,0.0116153,0.014471,0.00871457,0.0104365
aluminium_foil,2,0,0.0448419,0.0959302,0.0847566,0.0809323,0.0697972,0.0710362,0.0527411,0.0501357,0.0322793,0.0374903,0.0231912,0.0205935,0.0148636,0.0233974,0.0173529,0.0137283,0.0118325,0.0117509,0.0106783
aluminium_foil,3,0,0.0707819,0.141606,0.121556,0.0969543,0.0703465,0.0734675,0.0534877,0.0470558,0.0374744,0.0321628,0.027394,0.0223792,0.0185849,0.019713,0.0128507,0.0102522,0.0102932,0.00795373,0.00921978
aluminium_foil,4,0,0.0623089,0.106498,0.0971321,0.0904264,0.0802328,0.0666354,0.0613163,0.0448097,0.0370729,0.026156,0.0199751,0.0213809,0.0210612,0.0164301,0.0164677,0.0114548,0.0101392,0.00875809,0.00927737
aluminium_foil,5,0,0.0604385,0.112608,0.0939842,0.0934023,0.0787547,0.0710666,0.04726,0.0459557,0.0310922,0.0303844,0.023667,0.0170478,0.0175258,0.0192921,0.0130071,0.0103412,0.012979,0.0113808,0.00986197
aluminium_foil,6,0,0.0608314,0.116858,0.104242,0.083633,0.0682296,0.0563948,0.0462867,0.0411648,0.0387187,0.0256811,0.0311993,0.0294209,0.0171363,0.0167582,0.0195307,0.0131872,0.012906,0.0116753,0.0113889
aluminium_foil,7,0,0.0739381,0.169215,0.132201,0.109334,0.0781495,0.0708647,0.060308,0.0474682,0.0316216,0.0321889,0.0283404,0.0231544,0.0162381,0.0171369,0.0152697,0.011808,0.00810957,0.00882102,0.00778768
aluminium_foil,8,0,0.0646758,0.11581,0.104236,0.0867149,0.0687543,0.0570897,0.0481064,0.0452537,0.0389916,0.0271577,0.0256994,0.0203183,0.0186293,0.0194565,0.0188085,0.0116601,0.0115453,0.0127199,0.0075435
aluminium_foil,9,0,0.0600936,0.142761,0.123135,0.112772,0.0979447,0.0823237,0.0620827,0.0573636,0.0334443,0.027161,0.0199437,0.021874,0.0145124,0.0207564,0.00869396,0.0120744,0.00908632,0.0114664,0.00783395
brown_bread,0,0,0.0117649,0.0183129,0.0176095,0.0176726,0.0170902,0.0174294,0.0167303,0.0162401,0.0167771,0.0137047,0.0131554,0.0130099,0.0118533,0.0115765,0.0136532,0.0113973,0.0102799,0.0104557,0.00614844
brown_bread,1,0,0.0134556,0.0201464,0.0199587,0.019251,0.0190557,0.0186893,0.0174335,0.0155539,0.016128,0.0137336,0.0136419,0.0125428,0.011901,0.0138636,0.0124494,0.0110275,0.0118093,0.00901038,0.00865996
brown_bread,2,0,0.0198399,0.0316812,0.0317714,0.0318261,0.0305254,0.0297881,0.0279801,0.0249086,0.0260822,0.0215942,0.0200944,0.0203953,0.0183942,0.0177741,0.0172827,0.0119968,0.0152075,0.0153394,0.0159383
